id,category,prompt,preferred,less_preferred,explanation
P1,Error Explanation,I got 'IndexError: list index out of range' on line `x = items[5]`. What does this mean?,"This means `items` has fewer than 6 elements (indices 0-5 require at least 6), so accessing `items[5]` goes past the end of the list. Check `len(items)` before indexing, or use `items[5] if len(items) > 5 else None`. If the list is unexpectedly short, trace back to where it was built to see why it has fewer elements than expected.",That's an index error. You're accessing an index that doesn't exist. Fix your list.,"The preferred response explains the root cause precisely, gives a concrete safe-indexing fix, and points the user toward further diagnosis. The less-preferred response is vague, restates the error without adding information, and gives no actionable fix."
P2,Bug Fix / Code Correction,"Fix this function:
def divide(a, b):
    return a / b","The function will raise `ZeroDivisionError` when `b` is 0. Guard against it explicitly:
```python
def divide(a, b):
    if b == 0:
        raise ValueError('b must not be zero')
    return a / b
```
Raising a clear `ValueError` (rather than letting the raw `ZeroDivisionError` propagate) makes the failure mode explicit to callers and easier to catch intentionally.","```python
def divide(a, b):
    try:
        return a / b
    except:
        pass
```","The preferred fix keeps the error visible and informative. The less-preferred fix silently swallows the error with a bare except and returns None with no indication anything went wrong, which hides bugs from callers - a known anti-pattern."
P3,Exception Handling Guidance,How should I log an unexpected exception in a production service?,"Use `logging.exception()` (or `logger.error(..., exc_info=True)`) inside the `except` block so the full stack trace is captured, include contextual identifiers (request ID, user ID) in the log message, and re-raise or return a safe error response rather than continuing execution in an unknown state. Avoid logging sensitive data like passwords or tokens in the exception context.",print(f'Error: {e}') and then continue running like normal.,"The preferred answer uses proper structured logging with context and stack traces, and calls out not continuing in an unknown state plus not leaking sensitive data - directly relevant to reliability and safety. The less-preferred answer uses print() (lost in production), no stack trace, and silently continues, which can mask serious failures."
P4,Performance Debugging,"My Python loop that checks membership in a list of 100,000 items is slow. Why, and how do I fix it?","Checking `x in a_list` is O(n) per lookup because Python scans the list linearly, so n lookups against an n-item list costs O(n^2) overall. Convert the list to a `set` (or `frozenset` if it's static) since set membership is O(1) average case: `items_set = set(a_list)` then check `x in items_set`. This is a very common and impactful optimization for repeated membership checks.","Lists are just slow in Python, you should probably rewrite this part in C++ or use a faster language.","The preferred response correctly diagnoses the O(n) vs O(1) complexity issue and gives a minimal, immediately applicable fix. The less-preferred response is inaccurate (lists aren't inherently 'slow', membership checking has a complexity issue) and suggests a disproportionate, impractical solution."
P5,Debugging Methodology,How do I find a memory leak in a long-running Python service?,"Use `tracemalloc` (built into Python) to snapshot memory allocations at two points in time and diff them with `tracemalloc.take_snapshot().compare_to(...)` to see which lines are allocating the most retained memory. For object-level leaks, `objgraph` can show which object types are growing over time and help find reference cycles or objects that are never released (e.g. items appended to a module-level list/cache that's never cleared). Reproduce under load in a staging environment rather than debugging live in production when possible.","Just restart the service periodically, that usually fixes memory issues.","The preferred response gives concrete diagnostic tools and techniques to find the root cause. The less-preferred response is a workaround that masks the underlying bug rather than helping the user actually debug it, which doesn't serve the user's stated goal of finding the leak."
P6,Concurrency Debugging,Two threads are incrementing a shared counter and the final value is wrong. What's happening?,"`counter += 1` is not atomic in Python (it's read-modify-write), so when two threads interleave, updates can be lost - this is a classic race condition. Protect the increment with a `threading.Lock()`:
```python
lock = threading.Lock()
with lock:
    counter += 1
```
Alternatively, use `itertools.count()` with `next()`, or move to a design that avoids shared mutable state (e.g. each thread accumulates locally and results are summed at the end).","Just use more threads, it should average out and be roughly correct eventually.","The preferred response correctly identifies the race condition and gives a proven synchronization fix. The less-preferred response is factually wrong (more threads make races worse, not 'average out') and would mislead the user into shipping a still-broken, non-deterministic bug."
P7,Database/SQL Debugging,I need to delete all inactive users from my production database. How should I do this safely?,"First run a `SELECT` with the exact same predicate you intend to use for the delete (e.g. `SELECT COUNT(*) FROM users WHERE status = 'inactive'`) to confirm the row count matches your expectation. Take a backup or snapshot before running destructive queries on production. Wrap the delete in a transaction (`BEGIN; DELETE ...; -- check row count --; COMMIT;`) so you can `ROLLBACK` if the affected row count looks wrong, and run it during a low-traffic window if the table is large.",DELETE FROM users WHERE status = 'inactive'; -- just run this,"The preferred response walks through safe practices for a destructive, irreversible production operation (verify first, backup, transaction, rollback safety net). The less-preferred response hands over a raw destructive statement with no safeguards, which is risky and could cause irreversible data loss - a real helpfulness and safety gap."
P8,Test Failure Diagnosis,My test passes alone but fails when I run the full suite. What should I check?,"This is a strong signal of shared state leaking between tests: a module-level or class-level variable that isn't reset, a database row left over from a previous test, a monkeypatch that wasn't undone, or tests that depend on running in a specific order. Use `pytest-randomly` to shuffle test order and confirm order-dependence, check your fixtures use proper `yield`-based teardown, and make sure any global singletons are reset between tests.","Sounds like a flaky test, just add a retry decorator so it passes.","The preferred response diagnoses the likely root cause (shared state) and gives concrete verification steps. The less-preferred response papers over the bug with retries instead of fixing the underlying issue, which is a harmful habit that hides real bugs and reduces test-suite trustworthiness."
P9,Dependency/Environment Issue,pip install is failing behind my company's corporate proxy. What should I try?,"Configure pip to use the proxy explicitly: `pip install --proxy http://user:pass@proxyhost:port <package>`, or set it persistently via the `HTTPS_PROXY`/`HTTP_PROXY` environment variables or in `pip.conf` (`[global]\nproxy = http://proxyhost:port`). If the proxy does TLS interception, you may also need to add your company's CA certificate via `pip install --cert /path/to/ca-bundle.crt` or the `REQUESTS_CA_BUNDLE` environment variable. Avoid disabling certificate verification (`--trusted-host` blanket use) as a long-term fix since it weakens security.","Use `pip install --trusted-host pypi.org --trusted-host files.pythonhosted.org --cert /dev/null` to skip all certificate checks, that always works.","The preferred response solves the proxy issue properly and explicitly warns against disabling certificate verification as a habit. The less-preferred response recommends disabling TLS verification outright, which is a real security risk (man-in-the-middle exposure) presented as a routine fix - this is a safety-relevant preference distinction, not just a style one."
P10,Logic Error Diagnosis,My age-range classifier double-counts ages 13-17 in two categories. How do I fix overlapping conditions?,"Overlapping `if`/`elif` range checks mean the first matching branch wins and the later, supposedly-separate branch becomes partially unreachable or the logic silently misclassifies boundary values. Redefine the ranges so they are mutually exclusive and cover every value exactly once, e.g. `0-12` -> minor, `13-19` -> teen, `20+` -> adult, and add a unit test for each boundary value (12, 13, 19, 20) to lock in the intended behavior.",Just add more if statements until it looks right.,"The preferred response explains why overlapping ranges cause the bug and gives a principled fix (mutually exclusive ranges) plus a way to prevent regressions (boundary tests). The less-preferred response offers no diagnosis and encourages trial-and-error patching, which tends to accumulate further bugs."
