id,dimension,baseline_score,adapted_score
B1,accuracy,2,1
B1,relevance,2,1
B1,domain_specificity,1,1
B1,instruction_adherence,1,1
B1,consistency,2,1
B1,fluency,3,1
B1,hallucination,2,2
B1,completeness,2,1
B2,accuracy,1,1
B2,relevance,1,1
B2,domain_specificity,1,1
B2,instruction_adherence,1,1
B2,consistency,2,2
B2,fluency,2,1
B2,hallucination,4,4
B2,completeness,1,1
B3,accuracy,1,1
B3,relevance,1,1
B3,domain_specificity,1,1
B3,instruction_adherence,1,1
B3,consistency,1,1
B3,fluency,2,1
B3,hallucination,2,2
B3,completeness,1,1
B4,accuracy,1,1
B4,relevance,3,3
B4,domain_specificity,2,2
B4,instruction_adherence,1,1
B4,consistency,1,1
B4,fluency,3,2
B4,hallucination,2,2
B4,completeness,2,1
B5,accuracy,1,1
B5,relevance,1,1
B5,domain_specificity,1,1
B5,instruction_adherence,1,1
B5,consistency,1,1
B5,fluency,1,1
B5,hallucination,4,3
B5,completeness,1,1
B6,accuracy,1,1
B6,relevance,2,2
B6,domain_specificity,1,2
B6,instruction_adherence,1,1
B6,consistency,2,1
B6,fluency,4,2
B6,hallucination,3,2
B6,completeness,1,1
B7,accuracy,1,1
B7,relevance,1,2
B7,domain_specificity,1,2
B7,instruction_adherence,1,1
B7,consistency,2,1
B7,fluency,3,1
B7,hallucination,3,2
B7,completeness,1,1
B8,accuracy,2,1
B8,relevance,3,2
B8,domain_specificity,3,2
B8,instruction_adherence,2,1
B8,consistency,2,3
B8,fluency,2,3
B8,hallucination,2,4
B8,completeness,2,1
