id,instruction,context,response,category,language
135,"   SOMETHING IS OFF WITH THIS LOGIC - CAN YOU SPOT IT? (JAVASCRIPT)  

","function isPalindrome(str) {
  return str === str.split('').reverse();
}","`str.split('').reverse()` returns an array, and comparing a string to an array with `===` is always false. Join the reversed array back into a string before comparing: `return str === str.split('').reverse().join('');`",Logic Error Diagnosis,JavaScript
164,My test is failing with this output. What's going on? (Python),AssertionError: assert 3.0000000000000004 == 3.0,fix it,Test Failure Diagnosis,Python
99,How do I resolve this setup problem?,Docker container works on my machine but crashes with 'exec format error' on the deployment server.,"This means the image was built for a different CPU architecture than the server (commonly building on Apple Silicon/ARM and deploying to an x86_64 server, or vice versa). Rebuild with the correct target platform, e.g. `docker buildx build --platform linux/amd64 -t myimage .`, or use multi-platform builds so the image works on both architectures.",Dependency/Environment Issue,General
33,Review this code snippet and correct the bug: (Python),"def get_config(overrides={}):
    overrides['env'] = 'prod'
    return overrides","Using a mutable default argument (`{}`) is a classic Python bug: the same dict object is reused across every call and keeps accumulating changes. Use `None` as the default and create a new dict inside the function:
```python
def get_config(overrides=None):
    overrides = dict(overrides) if overrides else {}
    overrides['env'] = 'prod'
    return overrides
```",Bug Fix / Code Correction,Python
156,,"def average(nums):
    total = 0
    for n in nums:
        total += n
    return total / len(nums)

print(average([]))","This raises `ZeroDivisionError` when `nums` is empty because `len(nums)` is 0. Fix it by guarding against an empty list:
```python
def average(nums):
    if not nums:
        return 0
    return sum(nums) / len(nums)
```",Bug Fix / Code Correction,Python
87,Diagnose why this test fails: (Python),Test passes in isolation (`pytest test_foo.py::test_a`) but fails when run with the full suite.,"This usually indicates shared/global state leaking between tests - a module-level variable, a database row not cleaned up, a monkeypatch not reverted, or test order dependence. Check for missing `fixture` teardown, use `pytest --randomly-seed` (pytest-randomly) to confirm order-dependence, and make sure each test sets up and tears down its own isolated state rather than relying on side effects from earlier tests.",Test Failure Diagnosis,Python
141,"   WHAT'S THE BEST WAY TO HANDLE THIS SITUATION? (PYTHON)  

",What's wrong with using a bare `except:` clause?,"A bare `except:` catches everything, including `KeyboardInterrupt` and `SystemExit`, and hides the real exception type and traceback, making debugging much harder and potentially masking serious bugs. Catch specific exception classes instead (`except ValueError:`, `except (IOError, OSError):`), and if you truly need a catch-all, use `except Exception as e:` and log `e` with `logging.exception()`.",Exception Handling Guidance,Python
127,Diagnose the logic error in the following: (SQL),SELECT * FROM orders WHERE status = 'shipped' OR status = 'delivered' AND customer_id = 42;,"Operator precedence: `AND` binds tighter than `OR`, so this is evaluated as `status = 'shipped' OR (status = 'delivered' AND customer_id = 42)`, which returns ALL shipped orders regardless of customer. Add parentheses to express the intended logic: `WHERE (status = 'shipped' OR status = 'delivered') AND customer_id = 42;`",Logic Error Diagnosis,SQL
86,My test is failing with this output. What's going on? (Python),Test passes in isolation (`pytest test_foo.py::test_a`) but fails when run with the full suite.,"This usually indicates shared/global state leaking between tests - a module-level variable, a database row not cleaned up, a monkeypatch not reverted, or test order dependence. Check for missing `fixture` teardown, use `pytest --randomly-seed` (pytest-randomly) to confirm order-dependence, and make sure each test sets up and tears down its own isolated state rather than relying on side effects from earlier tests.",Test Failure Diagnosis,Python
64,This code is too slow. How can I optimize it? (Python),"def contains_duplicate(nums):
    for i in range(len(nums)):
        for j in range(len(nums)):
            if i != j and nums[i] == nums[j]:
                return True
    return False","This is O(n^2) because of the nested loop comparing every pair. Use a set for O(n) time: 
```python
def contains_duplicate(nums):
    seen = set()
    for n in nums:
        if n in seen:
            return True
        seen.add(n)
    return False
```",Performance Debugging,Python
150,Give me guidance on proper exception handling for this case: (JavaScript),fetch('/api/user').then(res => res.json()).then(data => setUser(data));,,Exception Handling Guidance,JavaScript
