id,instruction,context,response,category,language,instruction_len_words,response_len_words
80,How should error handling be improved here? (JavaScript),fetch('/api/user').then(res => res.json()).then(data => setUser(data));,"There is no `.catch()`, so a network failure or non-2xx response will produce an unhandled promise rejection and the UI will hang with no feedback. Add error handling and a status check:
```javascript
fetch('/api/user')
 .then(res => { if (!res.ok) throw new Error(`HTTP ${res.status}`); return res.json(); })
 .then(data => setUser(data))
 .catch(err => { console.error(err); setError('Could not load user'); });
```",Exception Handling Guidance,JavaScript,8,59
14,Explain this race condition / concurrency bug: (Python),"counter = 0
def increment():
 global counter
 for _ in range(100000):
 counter += 1
# run increment() in 2 threads -> counter ends up less than 200000","`counter += 1` is not atomic - it's a read, add, and write, so two threads can interleave and lose updates (a classic race condition). Protect the critical section with a lock:
```python
import threading
lock = threading.Lock()
def increment():
 global counter
 for _ in range(100000):
 with lock:
 counter += 1
```
Or use `threading.local()`/an atomic counter structure, or avoid shared mutable state entirely with multiprocessing + message passing.",Concurrency Debugging,Python,8,69
117,This code is too slow. How can I optimize it? (JavaScript),"items.forEach(item => {
 document.getElementById('list').innerHTML += `${item}`;
});","Appending to `innerHTML` inside a loop forces the browser to re-parse and re-render the entire list on every iteration, which is O(n^2) for n items. Build the HTML string (or a DocumentFragment) once, then assign it after the loop:
```javascript
const html = items.map(item => `${item}`).join('');
document.getElementById('list').innerHTML = html;
```",Performance Debugging,JavaScript,11,50
38,Diagnose this multi-threading issue:,My application deadlocks intermittently under load. How do I debug it?,"Deadlocks usually come from two or more threads acquiring the same locks in different orders. Take a thread dump when the app hangs (`jstack ` for JVM, `py-spy dump` for Python) and look for threads BLOCKED waiting on a lock held by another BLOCKED thread - that circular wait is the deadlock. Fix it by always acquiring locks in a consistent global order, using timeouts on lock acquisition (`tryLock` with a timeout), or reducing the scope/number of locks needed.",Concurrency Debugging,General,4,79
67,Diagnose the logic error in the following: (Python),"def find_max(nums):
 max_val = 0
 for n in nums:
 if n > max_val:
 max_val = n
 return max_val

print(find_max([-5, -2, -9])) # returns 0, expected -2",Initializing `max_val = 0` silently breaks for lists of all-negative numbers because 0 is never exceeded. Initialize with the first element instead: `max_val = nums[0]` (and handle the empty-list case separately).,Logic Error Diagnosis,Python,8,31
40,Diagnose the logic error in the following: (Java),"if (age >= 13 && age = 12 && age <= 17) {
 category = ""minor"";
}","The two age ranges overlap (13-17 falls in both branches), and because `age >= 13 && age <= 19` is checked first, anyone 12-17 who should also match ""minor"" is always classified as ""teen"" instead - the second branch becomes partially unreachable. Redefine the ranges so they are mutually exclusive, e.g. minor = 0-12, teen = 13-19.",Logic Error Diagnosis,Java,8,57
108,Something is off with this logic - can you spot it? (Python),"def find_max(nums):
 max_val = 0
 for n in nums:
 if n > max_val:
 max_val = n
 return max_val

print(find_max([-5, -2, -9])) # returns 0, expected -2",Initializing `max_val = 0` silently breaks for lists of all-negative numbers because 0 is never exceeded. Initialize with the first element instead: `max_val = nums[0]` (and handle the empty-list case separately).,Logic Error Diagnosis,Python,12,31
46,Give me guidance on proper exception handling for this case: (Python),What's wrong with using a bare `except:` clause?,"A bare `except:` catches everything, including `KeyboardInterrupt` and `SystemExit`, and hides the real exception type and traceback, making debugging much harder and potentially masking serious bugs. Catch specific exception classes instead (`except ValueError:`, `except (IOError, OSError):`), and if you truly need a catch-all, use `except Exception as e:` and log `e` with `logging.exception()`.",Exception Handling Guidance,Python,11,53
77,Review this database query for issues: (Python),"conn = sqlite3.connect('app.db')
for user_id in user_ids:
 cur = conn.execute(f""SELECT * FROM users WHERE id = {user_id}"")","Building SQL with an f-string is a SQL-injection vulnerability and also causes query-plan-cache misses since each query string is unique. Use parameterized queries: `conn.execute(""SELECT * FROM users WHERE id = ?"", (user_id,))`. This is safer and lets the database reuse the prepared statement plan.",Database/SQL Debugging,Python,7,44
36,Can you break down this error message for me? (Python),ImportError: cannot import name 'urlencode' from 'urllib',"In Python 3, `urlencode` moved to `urllib.parse`, not `urllib` directly. Change the import to `from urllib.parse import urlencode`. This error typically shows up when Python 2 code is run unmodified under Python 3.",Error Explanation,Python,10,33
2,How do I resolve this setup problem?,Docker container works on my machine but crashes with 'exec format error' on the deployment server.,"This means the image was built for a different CPU architecture than the server (commonly building on Apple Silicon/ARM and deploying to an x86_64 server, or vice versa). Rebuild with the correct target platform, e.g. `docker buildx build --platform linux/amd64 -t myimage .`, or use multi-platform builds so the image works on both architectures.",Dependency/Environment Issue,General,7,54
47,Identify the performance bottleneck in this code: (Python),"def contains_duplicate(nums):
 for i in range(len(nums)):
 for j in range(len(nums)):
 if i != j and nums[i] == nums[j]:
 return True
 return False","This is O(n^2) because of the nested loop comparing every pair. Use a set for O(n) time: 
```python
def contains_duplicate(nums):
 seen = set()
 for n in nums:
 if n in seen:
 return True
 seen.add(n)
 return False
```",Performance Debugging,Python,8,37
113,"Why is this running slowly, and how do I speed it up? (Python)","result = []
for row in large_dataframe.iterrows():
 result.append(row[1]['value'] * 2)",`DataFrame.iterrows()` is notoriously slow on large data because it creates a Series object per row. Use vectorized operations instead: `result = (large_dataframe['value'] * 2).tolist()`. This can be 50-100x faster on large datasets since it uses NumPy's compiled routines instead of a Python-level loop.,Performance Debugging,Python,13,43
11,Review this database query for issues: (SQL),Query runs fine on staging but times out on production with the same data volume.,"Check `EXPLAIN ANALYZE` on production - the query planner may be choosing a different execution plan due to stale statistics (`ANALYZE `), a missing index that exists on staging, table bloat, or different `work_mem`/buffer settings. Compare index lists between environments (`\d ` in psql) and confirm migrations that add indexes actually ran on production.",Database/SQL Debugging,SQL,7,54
103,Give me guidance on proper exception handling for this case: (java),"catch (Exception e) {
 // ignore
}","Swallowing exceptions silently is dangerous - failures disappear with no trace, making bugs almost impossible to diagnose later. At minimum log the exception with context (`logger.error(""failed to process order {}"", orderId, e)`), and catch the most specific exception type you can handle meaningfully rather than the generic `Exception`.",Exception Handling Guidance,Java,11,48
42,"Why is this running slowly, and how do I speed it up? (Python)","def contains_duplicate(nums):
 for i in range(len(nums)):
 for j in range(len(nums)):
 if i != j and nums[i] == nums[j]:
 return True
 return False","This is O(n^2) because of the nested loop comparing every pair. Use a set for O(n) time: 
```python
def contains_duplicate(nums):
 seen = set()
 for n in nums:
 if n in seen:
 return True
 seen.add(n)
 return False
```",Performance Debugging,Python,13,37
